sl.no,Pick_Time,Actual_Quantity,number_of_items_container,total_quantity_of_items_in_container,volume_of_items_present_in_container,Total_Weight_of_items_present_in_container,Height_of_item,Length_of_item,Width_of_item,weight_of_each_item
34986,20.396,3,5,7,1035.652875,10.26,2.5,4,4,0.4
34987,6.073,1,2,3,376.5625,1.5,1.5,4.25,2.5,0.5
34988,31.73,4,2,3,1247.375,12.9,9.5,4,4,3.4875
34989,30.957,4,9,18,722.6875,5.7562,2.5,4,4,0.4
34990,19.667,1,5,5,311.625,4.465,7.5,2.13,4.25,0.875
34991,26.743,1,4,8,919.43,7.7109,3,5,5,0.625
34992,14.804,1,6,10,1067.78125,6.87,6.5,6.5,0.85,0.6438
34993,8.807,1,4,5,837.69875,3.655,1,7,8,0.625
34994,6.676,1,8,8,1261.296875,15.5225,10.25,4.5,4.5,3
34995,14.447,2,5,7,429.96875,6.33,3,11.5,4.25,1.84
34996,17.1,1,1,1,41.59375,1.175,9.5,3.85,3.85,4.4938
34997,10.98,1,8,9,931.46875,9.2175,0.25,5.25,7.5,0.4375
34998,11.403,1,6,8,589.859375,11.4625,9.5,4,4,4
34999,8.733,4,6,11,996.125,5.9737,2.5,3.75,3.75,0.3312
35000,7.113,1,12,16,1100.546875,16.7037,2.5,7.8,8.1,0.25
35001,9.917,1,5,8,655.59375,3.4394,2.5,3.75,3.75,0.3312
35002,19.926,8,7,13,496.940625,3.9925,2.5,4,4,0.4
35003,11.733,1,6,10,604.671875,7.84,2.25,10.5,6.5,1.1
35004,9.753,1,2,2,287.75,3.2638,4,3,3,1
35005,7.83,1,1,2,196.875,1.125,2.75,11.75,4,1.5
35006,17.98,1,1,1,82.5,0.5,6,7,10,3.5
35007,5.983,1,0,0,0,0,1.5,6.25,5.25,0.875
35008,31.633,2,7,8,715,6.59,9.5,4,4,3.4875
35009,18.57,1,0,0,0,0,2.75,5,2.5,1.0125
35010,22.776,3,1,4,333,2.24,7.5,2.25,2.25,0.75
35011,5.414,1,2,2,191.03125,2.5,1.25,8.25,5.5,0.4
35012,26.524,1,14,21,1829.916075,12.0344,2,8,6.5,0.5625
35013,11.017,1,5,5,793.42,9.25,2.56,7.44,4.94,1.5
35014,6.937,1,4,5,631.25,6.885,2.25,4.25,4.25,0.62
35015,24.29,3,3,4,44.622,0.9887,1.6,4.5,4.5,0.55
35016,5.967,2,3,3,280.375,10.26,3,11.5,4.25,1.84
35017,13.18,1,3,3,500.3125,5.56,1.25,2.25,7,0.0156
35018,13.323,1,8,10,1272.71875,13.6687,1.5,6.25,5.25,0.875
35019,6.893,1,7,7,611.958225,4.2388,1.25,6.5,4.5,0.9375
35020,273.95,1,5,5,303.1640625,4.8437,8.5,2.5,2.5,0.4062
35021,12.453,2,8,16,1124.0375,9.0163,2.48,3.15,3.15,0.3312
35022,5.877,1,8,12,691.984375,8.165,1.25,8.25,5.5,0.4
35023,11.42,1,9,10,790.1625,10.2363,3.25,6.25,3.25,1.0938
35024,11.616,1,7,14,603.5625,3.7409,2,4.5,3.75,0.58
35025,13.153,3,1,3,400.78125,4.4813,9.25,3,3,2.24
35026,23.9,2,7,7,538.46875,6.1468,6,7,10,3.5
35027,13.65,1,0,0,0,0,4,5,5,0.875
35028,10.376,1,10,12,1496.046875,15.6925,3,5.25,5.25,1.06
35029,16.683,1,0,0,0,0,6,7,10,3.5
35030,6.183,1,3,5,185.021136,1.8912,2.75,11.75,4,1.5
35031,9.256,1,6,8,647.546875,5.1262,3,11.5,4.25,1.84
35032,15.074,2,2,5,303.125,0.7625,2.25,4.25,4.25,0.62
35033,9.883,1,4,6,724.75,5.3425,1.75,4.75,4.75,0.54
35034,5.206,1,5,7,448.825,7.1137,2.75,6,4,0.75
35035,44.164,12,3,5,730.1875,2.6125,1.75,4.5,4.5,0.5
35036,19.573,3,6,6,699.50825,9.12,9.5,4,4,3.4875
35037,10.82,1,1,2,450.1525,0.3125,1.25,4.85,3.55,0.52
35038,16.874,1,2,2,135,2.0625,3.25,6.5,3.25,1.0625
35039,7.484,1,0,0,0,0,3,4.25,4.25,1
35040,9.847,1,2,7,364.104,1.7875,1.25,8.25,5.5,0.4
35041,13.303,1,4,8,581.0625,2.0325,8.5,2.5,2.5,0.4062
35042,13.217,1,3,4,437.6875,5.515,3,11.5,4.25,1.84
35043,18.69,1,12,13,1273.75,17.2761,1.25,8.25,5.5,0.4
35044,18.446,1,6,6,922.235625,12.6563,0.1,0.1,0.1,1
35045,55.27,1,4,4,880.94525,17.46,2,4.75,4.75,0.5
35046,9.673,1,9,11,777.46875,6.155,2.5,4,4,0.4
35047,13.32,1,9,10,1330.451438,8.4,2,7,7,1
35048,9.71,1,3,3,220.75,1.735,1.75,4.5,4.5,0.5
35049,9.916,1,3,8,211.671875,1.97,5.25,2.5,2.5,0.275
35050,8.754,1,13,17,1390.140625,9.3049,9,6.75,0.5,0.54
35051,13.49,2,2,3,501.28125,4,9,6.75,0.5,0.54
35052,11.393,1,9,13,1824.143226,16.0562,2.5,4,4,0.3312
35053,10.967,1,4,4,825.375,9.7475,2.75,4.75,2.5,1.04
35054,35.56,3,13,14,1408.95625,12.2275,9.5,4,4,4
35055,18.75,2,6,9,1157,3.3056,2,4.75,4.75,0.5
35056,9.087,1,13,18,1275.475295,16.0849,1,9.5,6.25,0.52
35057,19.334,6,6,13,945.23188,3.9596,3.5,2.75,2.75,0.375
35058,18.47,1,5,8,768.03125,8.625,2.75,5,2.5,1.0125
35059,25.386,1,2,2,421.21875,2.2,6,3.25,3.25,1.16
35060,10.53,2,4,8,856.003988,7.8,3,11.5,4.25,1.84
35061,29.754,2,0,0,0,0,9.5,4,4,3.4875
35062,15.673,2,0,0,0,0,2.75,11.75,4,1.5
35063,28.006,1,5,7,286,3.385,5.5,2.75,2.75,1.2375
35064,16.7,1,4,5,527.625,4.7875,4,5,5,0.875
35065,8.043,1,0,0,0,0,2.25,4.25,4.25,0.62
35066,7.204,1,4,7,953.15625,5.09,1.25,8.25,5.5,0.4
35067,7.06,2,3,4,271.16261,4.35,7.45,2.17,2.17,0.75
35068,6.723,3,6,6,805.125,6.2275,9.5,4,4,3.4875
35069,39.606,5,1,1,254.592,6,2.5,4,4,0.4
35070,17.1,2,1,1,210,0.2812,6.25,2.5,2.5,0.9
35071,12.534,1,2,5,351.63875,0.7125,2,4.5,3.75,0.58
35072,9.72,1,3,5,67.859375,0.9124,3,11.75,4.25,1.125
35073,10.037,2,8,13,1104.640625,14.1006,2.5,3.5,3.5,0.3312
35074,10.61,1,13,13,1468.96875,16.7488,2,4.5,3.75,1.02
35075,15.8,1,1,1,45,0.4375,1,9,5,0.4375
35076,18.55,2,6,8,765.390625,11.5175,2.75,11.75,4,1.5
35077,7.587,1,0,0,0,0,2,8.5,2,1.04
35078,8.46,1,2,2,270.25,4.19,2.75,5.25,2.5,1.04
35079,7.11,1,4,12,979.875,5.1438,0.9,7.6,6.4,0.625
35080,16.21,1,5,8,1463.796875,5.8624,2.25,10.5,6.5,1.1
35081,5.283,1,1,2,304,3.4875,2,4.5,3.75,0.58
35082,13.78,4,2,7,236.1875,1.58,3,11.5,4.25,1.84
35083,21.677,4,1,1,170.703125,0.6,7,2.2,2.2,0.625
35084,13.323,2,3,7,441.4375,6.8375,5.75,4.5,1.75,0.5
35085,7.394,2,2,2,105.883,1.41,2.75,4.75,2.5,1.04
35086,10.09,1,9,10,1007.296875,11.23,0.25,7.5,9.75,0.1875
35087,13.44,4,0,0,0,0,10.5,4,4,4
35088,23.62,2,4,9,625.2,7.99,9.5,4.25,4.25,4.46
35089,11.123,1,3,5,865.265625,5.1375,3,5,5,0.625
35090,8.167,1,0,0,0,0,3,7.5,5.75,0.5
35091,22.007,1,2,3,343.0625,4.9,6,7,10,3.5
35092,7.483,1,4,7,285.15625,2.7625,2.25,3,3,0.2656
35093,12.653,1,4,5,1153.375,13.3759,3,4.25,4.25,1
35094,17.684,1,8,8,574.921875,7.2856,3.5,8.87,7.25,0.3125
35095,12.89,2,12,16,1074.321975,9.9974,3.5,2.75,2.75,0.375
35096,13.863,1,7,9,825.75,9.4031,2.25,3,3,0.2656
35097,8.087,1,6,13,889.640625,6.0725,0.25,6.75,7.5,0.25
35098,15.903,2,12,16,1426.93225,10.2875,1.75,4.5,4.5,0.5
35099,31.69,5,6,6,317.740875,6.4621,3.5,2.75,2.75,0.2812
35100,7.293,1,6,8,393.875,2.7093,5.25,10.25,0.25,0.5
35101,24.1,2,3,7,412.90625,5.06,2.5,3.5,3.5,0.3312
35102,11.804,1,1,1,306.28125,3,6,7,10,3.5
35103,8.91,1,6,7,649.8,5.9625,3,5,5,1.0625
35104,23.443,4,3,3,384.71875,2.44,2.5,4,4,0.4
35105,22.85,1,3,3,331.46875,5.0625,0.9,7.6,6.4,0.625
35106,17.843,1,0,0,0,0,9.5,3.85,3.85,4.4938
35107,0.323,1,2,2,333.96875,1.88,3.25,5.25,3.75,0.9375
35108,7.647,1,12,15,1709.923043,14.4294,5.25,3,3,1
35109,27.66,1,3,3,396.140625,5.3125,8.5,2.5,2.5,0.4062
35110,48.967,1,0,0,0,0,9.5,4,4,3.4875
35111,6.023,1,0,0,0,0,1.5,6.25,5.25,0.875
35112,7.507,1,2,6,223.28125,0.76,3,4.25,4.25,1
35113,10.14,1,9,10,1562.0625,14.215,2.75,5,2.5,1.0125
35114,10.876,1,3,4,671.53125,3.68,1,8,5,0.3125
35115,8.93,1,4,4,622.406708,4.4837,1.5,6.5,6.5,0.5
35116,4.697,1,4,4,358.171875,5.445,3.5,8.87,7.25,0.3125
35117,16.817,2,6,8,1342.46875,4.9725,8.5,2.5,2.5,0.4062
35118,6.447,1,2,6,197.21875,1.175,9.5,4,4,3.4875
35119,11.653,4,4,7,417.56375,9.3063,2.5,4,4,0.3312
35120,23.963,1,0,0,0,0,1,9,5,0.4375
35121,21.657,7,0,0,0,0,2.5,3.25,3.25,0.3312
35122,16.117,2,5,15,664.125,2.96,6.5,6.5,0.85,0.6438
35123,11.07,2,4,5,268.60853,2.58,1.65,4.29,4.29,0.25
35124,14.304,3,4,11,1448.38875,3.8125,2.75,5,2.5,1.0125
35125,10,2,16,22,2105.625,16.2125,10.5,6.75,0.5,0.76
35126,5.01,1,2,2,531.28125,4,2.75,5,2.5,1.0125
35127,25.71,4,5,8,677.71875,6.3225,5.88,1.25,3.25,0.15
35128,20.01,4,5,12,780.5,3.8525,3.5,2.75,2.75,0.375
35129,8.73,1,7,11,1298.34375,8.135,3,11.75,4.25,1.125
35130,9.94,2,0,0,0,0,2.5,4,1.5,0.1875
35131,6.41,1,4,4,455.59375,5.6875,3,5,5,1.0625
35132,7.333,1,1,1,146.625,1.84,3,11.75,4.25,1.125
35133,21.004,1,5,5,573.85625,7.08,5.25,10.25,0.25,0.5
35134,29.043,1,6,8,363.03125,4.865,2.75,5,2.5,1.0125
35135,32.24,1,4,4,356.3125,5.3275,5.5,2.75,2.75,1.2375
35136,5.8,1,8,10,930.425125,12.4512,3,11.5,4.25,1.84
35137,12.94,2,1,1,168,5,1.5,4.25,2.5,0.5
35138,6.86,1,9,9,1017.875,10.065,2.5,5.25,3.25,1
35139,31.957,4,11,13,1255.25,10.78,4,5.25,3,1.1625
35140,12.527,1,0,0,0,0,2.75,5.25,2.5,1.04
35141,32.217,1,2,3,122.625,1.0175,10.5,6.75,0.5,0.76
35142,13.63,3,12,20,1335.203125,17.2961,2.5,3.25,3.25,0.3312
35143,36.2,1,4,4,432,3.4375,4.75,6,1.5,0.5
35144,8.68,1,3,4,277.875,1.1449,2.5,3.25,3.25,0.3312
35145,20.63,1,9,9,1394.59375,10.23,2.36,3.43,3.43,0.4375
35146,4.767,1,0,0,0,0,3,11.5,4.25,1.84
35147,29.53,2,0,0,0,0,6,7,10,3.5
35148,8.567,1,8,10,917.1875,12.4925,5.25,10.25,0.25,0.5
35149,8.407,1,8,10,1378.344666,10.2512,3,11.5,4.25,1.84
35150,17.877,1,1,2,299.625,1.5625,8.5,2.5,2.5,0.4062
35151,8.033,2,7,12,983.3,5.9426,6.25,2.5,2.5,0.9
35152,12.193,2,3,6,437.5,4.5975,2.5,7,6,0.4562
35153,23.546,1,0,0,0,0,5.25,3,3,1
35154,12.594,1,5,5,690.5,9.4031,3,11.5,4.25,1.84
35155,47.094,3,5,5,376.375,5.5625,5.5,2.75,2.75,1.2375
35156,9.126,1,0,0,0,0,2.5,7,6.25,0.25
35157,6.83,1,3,4,675.1875,2.99,1.25,4.85,3.55,0.52
35158,4.65,1,10,13,1591.71875,13.635,9.25,3,3,2.24
35159,18.25,1,6,11,862.298249,8.6562,3,5.25,5.25,1.06
35160,10.294,1,9,10,780.703125,5.665,3,11.5,4.25,1.84
35161,6.953,1,0,0,0,0,3,11.5,4.25,1.84
35162,14.043,1,0,0,0,0,5.25,6.25,1.25,0.84
35163,10.204,1,11,17,1702.972733,12.113,2,4.25,4.25,0.54
35164,29.59,1,5,6,712.375,9.3875,1.6,4.5,4.5,0.55
35165,6.976,1,0,0,0,0,0.9,7.6,6.4,0.625
35166,6.377,1,4,6,459.03125,4.75,2.25,5,5,0.625
35167,11.134,1,1,2,170.625,0.86,3,7.5,5.75,0.5
35168,15.786,6,3,5,212.2079,2.668,2.75,2.59,2.71,0.2625
35169,12.483,4,2,14,592.5,1.1875,9.25,3,3,2.24
35170,6.973,1,6,9,661.76,5.2762,10.5,6.75,0.5,0.76
35171,23.943,1,0,0,0,0,3.5,2.75,2.75,0.2812
35172,7.64,1,1,1,14.84375,0.52,2.25,3,3,0.2656
35173,7.53,1,10,10,633.4375,9.605,3.25,6.5,3.25,1.0625
35174,11.306,1,0,0,0,0,10.5,6.75,0.5,0.76
35175,18.163,1,0,0,0,0,7.25,8.25,2.5,0.125
35176,75.807,1,11,15,1249.125,7.2076,3.5,8.87,7.25,0.3125
35177,15.21,1,7,9,1285.8125,4.8634,1,8,6,0.3125
35178,15.47,1,9,10,1026.375,14.1175,2,4.75,4.75,0.5
35179,7.673,1,1,1,83.25,2.24,5.25,10.25,0.25,0.5
35180,31.574,3,4,5,1390,6.01,9.5,4,4,3.4875
35181,5.563,1,5,9,1142.25,6.9025,5.25,10.25,0.25,0.5
35182,11.503,1,10,15,1115.775,7.3438,3,11.5,4.25,1.84
35183,12.78,1,11,21,1316.451875,8.7557,2.25,3,3,0.2656
35184,5,1,11,12,894.15625,10.12,1,1,1,1
35185,13.976,2,0,0,0,0,2.5,4,4,0.4
35186,23.1,4,3,5,1174.03125,2.7725,3.5,2.75,2.75,0.2812
35187,5.383,1,6,12,711.0625,4.6,2.75,11.75,4,1.5
35188,5.924,1,8,8,438.125,5.715,3,11.5,4.25,1.84
35189,17.416,1,17,29,1762.730375,18.35,5.5,5.5,1,0.75
35190,37.43,3,7,8,388.28125,4.915,3,11.5,4.25,1.84
35191,11.08,1,0,0,0,0,1.78,2.92,2.91,0.34
35192,8.393,1,1,1,36.09375,1.04,7,10,1,1.1
35193,23.496,1,6,10,655,6.51,1,5.5,5.5,0.625
35194,14.44,1,2,2,20,0.9725,10.5,6.75,0.5,0.76
35195,6.464,1,3,8,835.4489,10.75,9.25,3,3,2.24
35196,15.373,1,0,0,0,0,10.75,5.25,4,4
35197,15.527,1,9,11,1544.546875,9.7959,0.9,7.6,6.4,0.625
35198,27.434,1,3,9,281.46875,1.6125,1.625,5.375,2.625,0.25
35199,17.34,3,4,8,854.96875,4.4962,3.5,2.75,2.75,0.4062
35200,31.403,1,1,2,258.5,1.5,1,1,1,1
35201,17.03,3,15,19,1536.441239,12.9513,5.5,2.75,2.75,1.2375
35202,8.727,1,0,0,0,0,6,7,10,3.5
35203,17.09,1,7,9,801.40625,5.1337,10.5,6.75,0.5,0.76
35204,15.164,2,4,4,346.185,4.3725,6.25,2.5,2.5,0.9
35205,50.216,1,6,12,1153.71875,7.0225,1.75,6.75,3.75,0.375
35206,9.65,1,11,13,969.34375,9.2562,10.25,4.5,4.5,3
35207,17.17,1,1,2,183.816,2.94,0.25,7.5,9.75,0.1875
35208,7.394,1,0,0,0,0,1.25,8.25,5.5,0.4
35209,40.92,1,12,15,1820.046875,16.4659,2.25,3,3,0.2656
35210,9.86,1,10,12,1386.11885,11.04,4,5,5,0.875
35211,16.64,1,1,1,53.125,0.4062,1,9,5,0.4375
35212,16.05,2,5,7,805.6875,5.555,2,4.75,4.75,0.5
35213,11,2,0,0,0,0,1.5,5.25,4.5,0.78
35214,21.106,1,7,15,1748.80375,10.5712,2,5.25,5.25,0.5
35215,7.7,1,2,5,577.5,5.04,9.5,7,1.5,0.52
35216,7.163,1,0,0,0,0,3,11.5,4.25,1.84
35217,8.447,1,3,3,116.53125,2.4012,1.75,4.5,4.5,0.5
35218,11.334,1,7,11,502.78125,6.7475,1,10.25,6,0.5
35219,21.163,2,0,0,0,0,7,2.2,2.2,0.625
35220,12.656,1,12,26,1676.671277,11.1324,4.25,5.75,2.75,0.9688
35221,10.533,1,7,9,1181.3125,7.6512,1.25,8.25,5.5,0.4
35222,12.9,1,10,17,1067.0625,5.8756,2.75,4.75,2.5,1.04
35223,13.803,2,2,2,129.6625,2.2038,2.5,4,4,0.4
35224,7.28,1,2,2,905.2,7.5687,3.25,4.25,4.25,0.54
35225,7.027,1,2,2,302.40625,2.76,4.75,5.09,5.09,1.5
35226,8.174,1,7,10,750.059375,10.0001,2.5,5.25,3.25,1
35227,5.924,1,4,4,155.905,2.5,2.75,5,2.5,1.0125
35228,5.806,1,5,6,1030.578125,7.54,2,4.5,3.75,1.02
35229,9.34,2,0,0,0,0,2,5.25,5.25,0.5
35230,8.17,1,7,13,812.8125,12.3836,3,11.5,4.25,1.84
35231,6.36,1,2,3,196.1875,1.79,9.25,3,3,2.24
35232,11.583,1,4,4,497.90625,8.9775,3.25,5.25,3.75,0.9375
35233,9.406,1,2,2,37.68,0.7812,3,5.25,5.25,1.06
35234,21.38,1,0,0,0,0,1.625,5.375,2.625,0.25
35235,7.833,1,5,7,976.9625,7.1625,1.25,8.25,5.5,0.4
35236,19.436,3,16,21,1536.292956,20.6221,2.5,3.75,3.75,0.375
35237,11.113,1,5,10,348.7875781,2.4631,6,7,10,3.5
35238,20.047,1,16,20,1623.984375,15.5159,2.25,3,3,0.2656
35239,15.453,2,6,33,1490.313524,4.8169,1.75,9.75,2,0.6562
35240,7.414,1,7,11,841.421875,7.7162,3.25,6.5,3.25,1.0625
35241,9.433,1,6,8,859.46875,6.235,3.5,8.87,7.25,0.3125
35242,7.153,1,1,2,361.25,4,2.75,4.75,2.5,1.04
35243,8.863,1,1,1,149.8125,1.5625,1.75,4.5,4.5,0.5
35244,22.003,4,8,14,1009.80625,7.855,2.5,4,4,0.4
35245,10.863,2,5,5,780.875,7.1562,1,9,5,0.4375
35246,5.53,1,5,8,715.1875,6.99,3.25,4.25,4.25,0.54
35247,18.373,1,4,8,797.991852,9.4375,2.5,4,1.5,0.1875
35248,13.234,1,3,3,260.4125,2.3437,9.5,4,4.25,4
35249,24.977,1,0,0,0,0,4,5,5,0.875
35250,53.9,6,2,8,483.46875,1.2638,2.5,4,4,0.4
35251,37.717,2,4,10,1395.875,4.05,2.5,7,6.25,0.25
35252,5.037,1,5,11,1486.71875,3.5625,3.5,8.87,7.25,0.3125
35253,20.837,2,0,0,0,0,2.5,3.5,3.5,0.5625
35254,11.064,1,0,0,0,0,2.75,5,2.5,1.0125
35255,12.62,2,14,25,1306.062958,14.1073,2.5,3.75,3.75,0.375
35256,37.92,1,2,9,343.498712,1.5938,6.69,3.25,4.94,0.875
35257,15.246,1,0,0,0,0,1,9,5,0.4375
35258,10.856,1,0,0,0,0,3,11.5,4.25,1.84
35259,18.15,1,6,7,1123.98,5.9625,1.25,8.25,5.5,0.4
35260,15.673,2,3,3,184.09375,2.4775,1.75,6,4.75,1.32
35261,6.564,1,2,3,128.5,1.125,3,11.5,4.25,1.84
35262,7.59,1,7,14,1679.8125,6.7158,9.5,4,4,3.4875
35263,18.61,2,8,12,1174.78125,9.8725,10.25,4.5,4.5,3
35264,5.25,1,9,11,2028.484375,8.2321,2,4.5,3.75,0.58
35265,16.38,1,0,0,0,0,3,11.5,4.25,1.84
35266,7.78,1,5,8,747.46875,3.01,9.5,4,4,3.4875
35267,13.76,1,2,2,98.5,1.3,1.25,8.25,5.5,0.4
35268,5.157,1,6,6,613.125,11.1525,9.5,4,4,3.4875
35269,11.49,2,4,5,220.953125,3.455,2.5,4,4,0.4
35270,7.844,1,8,12,1424.5,7.96,5.7,2.3,2.3,0.6875
35271,9.65,3,8,12,906.75,9.5024,2.5,4,1.5,0.1875
35272,10.563,1,9,16,1147.625,11.9275,10.5,6.75,0.5,0.76
35273,5.947,1,0,0,0,0,2.25,10.5,6.5,1.1
35274,8.194,2,1,1,167.0625,0.625,2,4.75,4.75,0.5
35275,6.837,1,7,7,627.046875,7.1628,3.5,2.75,2.75,0.4062
35276,15.447,1,6,7,646.15125,8.04,3.5,8.87,7.25,0.3125
35277,7.973,1,1,2,356.5,0.76,0.25,6.75,7.5,0.25
35278,9.883,1,12,13,1900.471222,20.0241,1.5,6.25,5.25,0.4875
35279,9.49,1,0,0,0,0,1.25,8.25,5.5,0.4
35280,18.134,1,0,0,0,0,1,9,5,0.4375
35281,4.84,1,5,13,928.703125,2.4688,9.25,3,3,2.24
35282,77.047,1,5,8,320.390625,2.5225,3,11.5,4.25,1.84
35283,3.043,1,8,11,572.771875,4.8726,1.5,6.5,6.5,0.5
35284,8.91,1,0,0,0,0,1.25,6.25,4.25,0.5625
35285,9.47,1,17,30,1640.310795,12.6287,1.65,4.29,4.29,0.25
35286,6.51,1,7,11,1272.40625,4.7,9.5,4,4,4
35287,85.364,2,4,6,286.467302,3.875,2.5,4,4,0.4
35288,9.83,1,7,9,615.0625,5.6375,2.75,11.75,4,1.5
35289,6.384,1,0,0,0,0,9.5,4,4,3.4875
35290,9.66,1,11,17,1964.447904,15.9749,8.5,5.5,0.85,0.42
35291,19.45,2,6,19,694.00125,3.875,2.25,3,3,0.2656
35292,14.04,2,1,1,40,0.3312,2.5,4,4,0.44
35293,14.513,1,1,1,161.5,4,3,5.25,5.25,1.06
35294,6.864,1,1,1,207.5625,3,2.75,5,2.5,1.0125
35295,6.89,1,0,0,0,0,2,5.25,5.25,0.5
35296,27.453,1,1,1,146.625,1.84,9.5,4.25,4.25,4.46
35297,12.94,2,0,0,0,0,0.9,7.6,6.4,0.625
35298,8.693,1,3,4,610.78125,4.25,3,4.25,4.25,1
35299,16.094,1,0,0,0,0,2.75,5.25,2.5,1.04
35300,6.857,1,10,21,1651.3645,16.085,1,9,5,0.4375
35301,15.197,1,2,5,364.625,2.575,9.5,4,4,3.4875
35302,17.426,1,0,0,0,0,5.25,10.25,0.25,0.5
35303,9.11,1,4,6,441.75,3.3106,9.5,3.85,3.85,4.4938
35304,9.716,2,0,0,0,0,1,9,5,0.4375
35305,5.87,1,0,0,0,0,3,11.5,4.25,1.84
35306,7.69,1,1,2,304,3.4875,1.25,6.5,2.25,0.375
35307,13.933,1,6,7,951.59375,9.3375,9.5,4,4,3.4875
35308,23.29,1,0,0,0,0,5.25,10.25,0.25,0.5
35309,12.517,1,9,12,1444.09375,16.5875,2.75,5.25,2.5,1.04
35310,15.36,1,7,10,726.625,6.61,3.25,6.25,3.25,1.0938
35311,12.033,1,7,9,1113.375,7.4669,4,3,3,1
35312,16.393,1,6,9,504.2058643,2.945,1.5,5.25,2.75,0.54
35313,19.06,2,0,0,0,0,0.9,7.6,6.4,0.625
35314,23.03,5,2,7,354.15625,1.7312,3.5,2.75,2.75,0.375
35315,60.03,12,2,10,264.0625,0.6624,2.5,3.25,3.25,0.3312
35316,7.31,1,6,7,1167.90125,11.3425,3.5,8.87,7.25,0.3125
35317,32.49,1,5,5,762.5,8.25,1.25,6.25,4.25,0.5625
35318,11.934,1,5,5,430.01875,2.9975,1.5,6.5,6.5,0.5
35319,5.807,1,2,2,206.84375,1.6675,5.88,1.25,3.25,0.15
35320,5.007,1,2,6,466.703125,2.8,9.5,4,4,3.4875
35321,9.76,2,15,22,2023.96875,18.6337,7,10.75,0.5,0.8
35322,17.84,0,3,4,309.25,4.8625,5.38,2,2,0.4375
35323,6.54,1,7,13,1083.115625,5.85,2.75,5,2.5,1.0125
35324,10.58,1,5,6,673.9233125,12.5762,1.25,6.5,2.25,0.375
35325,20.433,1,9,11,814.40625,11.6925,9.5,4,4,3.4875
35326,12.597,1,1,1,119.53125,1.18,9.25,3,3,2.24
35327,5.513,1,9,10,1012.61547,12.5263,10.25,4.5,4.5,3
35328,12.63,3,2,2,248.497662,0.8313,1.75,4.5,4.5,0.5
35329,29.34,4,7,8,786.75,7.5281,2.5,3.75,3.75,0.3312
35330,6.38,1,7,11,1308.203125,6.7425,3,11.5,4.25,1.84
35331,48.396,1,6,7,1013.09375,4.3315,3.25,6.5,3.25,1.0625
35332,12.607,1,0,0,0,0,1.75,6,6,0.6875
35333,7.763,1,1,1,48,1,1.25,8.25,5.5,0.4
35334,10.183,1,6,12,1188.140625,10.7825,9.5,3.75,3.75,4.46
35335,9.063,1,13,15,817.390625,12.1175,2.25,4.25,4.25,0.62
35336,6.21,1,4,6,763.40625,2.4575,2,4.25,4.25,0.54
35337,20.61,1,2,3,252.602572,3.275,3,11.5,4.25,1.84
35338,22.39,1,1,1,54.375,0.3125,2,4.75,4.75,0.5
35339,7.34,1,7,9,1072.84375,6.7425,1,9,5,0.4375
35340,15.177,1,14,15,1697.513125,18.6718,7,5.25,3.5,0.875
35341,15.64,1,3,7,630.591875,1.2725,6.25,2.5,2.5,0.9
35342,9.38,1,11,13,874.509375,9.7269,1.75,8.5,4.75,0.6
35343,7.153,1,3,5,128.59375,2.8288,1.5,4.25,2.5,0.5
35344,8.967,1,5,6,974.59375,11.3209,3.15,4.5,4.5,1.06
35345,6.476,1,1,1,35.9125,0.6438,2,7.25,3.25,0.4375
35346,30.177,4,0,0,0,0,9.25,3,3,2.24
35347,13.86,1,8,10,1638.578125,14.4844,6.5,6.5,0.85,0.6438
35348,17.08,3,4,4,427.3125,6.2,2.5,3.75,3.75,0.3312
35349,13.007,1,3,4,274.629677,3.1875,4.75,5.56,3.75,1.5
35350,7.92,1,6,10,1422.125,17.65,4.25,5.75,2.75,0.9688
35351,13.943,1,2,3,392.875,3.125,1.5,4.25,2.5,0.5
35352,12.193,1,6,20,999.8125,3.4325,1.75,6.25,1.75,0.64
35353,27.183,2,7,11,811.679375,5.4275,6.25,2.5,2.5,0.9
35354,13.307,2,2,3,733.40625,1.9375,0.9,7.6,6.4,0.625
35355,15.587,2,0,0,0,0,3.5,8.87,7.25,0.3125
35356,62.677,1,9,9,1121.29375,12.935,1.75,6.75,3.75,0.375
35357,13.476,1,10,21,1231.96875,12.4774,1.5,4.25,2.5,0.5
35358,14.49,1,4,4,798.57625,7.825,3,11.5,4.25,1.84
35359,12.3,1,7,9,867.03125,10.745,3,5.25,5.25,1.06
35360,12.976,1,9,11,1002.04375,9.23,5.38,2,2,0.4375
35361,13.194,4,7,12,1001.5625,10.0875,2.5,3.75,3.75,0.375
35362,20.757,1,0,0,0,0,1,9,5,0.4375
35363,16.05,1,3,3,204.40625,2.4725,3,4.25,4.25,1
35364,7.163,1,3,3,374.0625,3.6875,2.5,4,4,0.3312
35365,5.56,1,1,1,152,4,9.5,4,4,3.4875
35366,8.664,1,5,5,422.250458,6.5812,5.25,3,3,1
35367,19.633,1,5,5,742.015625,6.2,9.5,4,4,3.4875
35368,6.606,1,4,5,332.59375,3.3662,3.25,5.25,3.75,0.9375
35369,12.457,1,7,11,512.84375,5.6887,1.55,4.85,4.85,0.56
35370,14.684,1,1,1,118.125,0.75,1.25,8.25,5.5,0.4
35371,33.016,1,4,6,657.25,10,9.5,4,4,4
